product_url,price,image_url,product_name
http://www.flipkart.com/htc-one-e8/p/itmdyhz2n7zzq55e?pid=MOBDYHNYK3XCYDTP&otracker=from-search&srno=t_16&query=htc&ref=7a94ce9f-b797-419b-9959-a9b1f538999e,"Rs. 32,012",http://img6a.flixcart.com/image/mobile/d/t/p/htc-one-e8-125x125-imadyhpfybzdbuup.jpeg,HTC One E8 (Dark Grey)
http://www.flipkart.com/htc-desire-601/p/itmdv6euabghzhgz?pid=MOBDRJ6VTSMXRYET&otracker=from-search&srno=t_17&query=htc&ref=7a94ce9f-b797-419b-9959-a9b1f538999e,"Rs. 21,300",http://img5a.flixcart.com/image/mobile/y/e/t/htc-desire-601-125x125-imadrj7mnf4skhga.jpeg,"HTC Desire 601 (White, with Dual SIM)"
http://www.flipkart.com/htc-desire-601/p/itmdv6euabghzhgz?pid=MOBDRJ6VVQBDSSPA&otracker=from-search&srno=t_18&query=htc&ref=7a94ce9f-b797-419b-9959-a9b1f538999e,"Rs. 21,200",http://img5a.flixcart.com/image/mobile/s/p/a/htc-desire-601-125x125-imadrj7mbvgg8jwk.jpeg,"HTC Desire 601 (Black, with Dual SIM)"
http://www.flipkart.com/htc-desire-816/p/itmdwgcegvq22g3b?pid=MOBDW3XDGAA67DVY&otracker=from-search&srno=t_19&query=htc&ref=7a94ce9f-b797-419b-9959-a9b1f538999e,"Rs. 24,900",http://img6a.flixcart.com/image/mobile/d/v/y/htc-desire-816-125x125-imadw3ykfry7nvbu.jpeg,HTC Desire 816 (Orange)
http://www.flipkart.com/htc-one-e8/p/itmdyhz2n7zzq55e?pid=MOBDZB3QGPTNNZWC&otracker=from-search&srno=t_20&query=htc&ref=7a94ce9f-b797-419b-9959-a9b1f538999e,"Rs. 32,012",http://img5a.flixcart.com/image/mobile/z/w/c/htc-one-e8-125x125-imadzww2thxphkgh.jpeg,HTC One E8 (White)
product_url,price,image_url,product_name
http://www.flipkart.com/micromax-unite-2-a106-8-gb-rom/p/itmdxvuf3p2neea5?pid=MOBDXVTYRC2H3E5V&otracker=from-search&srno=t_1&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 6,799",http://img5a.flixcart.com/image/mobile/e/5/v/micromax-unite-2-a106-8-gb-rom-125x125-imadxvuvb8gkezmp.jpeg,"Micromax Unite 2 A106 with 8 GB ROM (Grey, with 8 GB ROM)"
http://www.flipkart.com/micromax-canvas-2-colors-a120-4-gb-rom/p/itmdz4rwazdsrqfd?pid=MOBDVN5YQARGVUEB&otracker=from-search&srno=t_2&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 8,700",http://img6a.flixcart.com/image/mobile/u/e/b/micromax-canvas-2-colors-a120-125x125-imadvz9tnjcamygf.jpeg,Micromax Canvas 2 Colors A120 with 4 GB ROM (Grey)
http://www.flipkart.com/micromax-mad-a94/p/itmeyfrhb82gsb4s?pid=MOBDSN7H75FANFUA&otracker=from-search&srno=t_3&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 5,975",http://img6a.flixcart.com/image/mobile/f/u/a/micromax-mad-a94-125x125-imadsn869zkz4byj.jpeg,Micromax MAd A94 (Grey)
http://www.flipkart.com/micromax-canvas-2-2-a114/p/itmdrg6asyfthx4m?pid=MOBDRG68QFGXYFFZ&otracker=from-search&srno=t_4&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 8,129",http://img5a.flixcart.com/image/mobile/f/f/z/micromax-canvas-2-2-a114-125x125-imadrg6zkhe8hvqq.jpeg,Micromax Canvas 2.2 A114 (Black)
http://www.flipkart.com/micromax-unite-2-a106-8-gb-rom/p/itmdxvuf3p2neea5?pid=MOBDXVTYK2JGZGFY&otracker=from-search&srno=t_5&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 6,575",http://img6a.flixcart.com/image/mobile/g/f/y/micromax-unite-2-a106-8-gb-rom-125x125-imadxvuvrswyymzj.jpeg,"Micromax Unite 2 A106 with 8 GB ROM (White, with 8 GB ROM)"
http://www.flipkart.com/micromax-unite-2-a106-4-gb-rom/p/itmeyfpgduuh8wzw?pid=MOBDWEQ5JEGQYZDM&otracker=from-search&srno=t_6&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 6,730",http://img5a.flixcart.com/image/mobile/z/d/m/micromax-unite-2-a106-125x125-imadwf3qp5c5vjhc.jpeg,Micromax Unite 2 A106 with 4 GB ROM (White)
http://www.flipkart.com/micromax-unite-2-a106-4-gb-rom/p/itmeyfpgduuh8wzw?pid=MOBDWERG4UFMFZXW&otracker=from-search&srno=t_7&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 6,900",http://img5a.flixcart.com/image/mobile/z/x/w/micromax-unite-2-a106-125x125-imadwfzgz88pfdct.jpeg,Micromax Unite 2 A106 with 4 GB ROM (Grey)
http://www.flipkart.com/micromax-canvas-2-2-a114/p/itmdrg6asyfthx4m?pid=MOBDRKHTEKMPGA27&otracker=from-search&srno=t_8&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 8,519",http://img6a.flixcart.com/image/mobile/a/2/7/micromax-canvas-2-2-a114-125x125-imadrkmx5yyfqkyh.jpeg,Micromax Canvas 2.2 A114 (White)
http://www.flipkart.com/micromax-canvas-doodle-a111/p/itmdpa9mraqc9nxt?pid=MOBDKXFWQFCWTFGY&otracker=from-search&srno=t_9&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 10,019",http://img6a.flixcart.com/image/mobile/f/g/y/micromax-canvas-doodle-a111-125x125-imadkxgyw5hmqr3a.jpeg,Micromax Canvas Doodle A111 (White)
http://www.flipkart.com/micromax-unite-2-a106-4-gb-rom/p/itmdz4rv3snhfqyq?pid=MOBDX4UV8G8NP8BV&otracker=from-search&srno=t_10&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 7,999",http://img6a.flixcart.com/image/mobile/8/b/v/micromax-unite-2-a106-125x125-imadx5mgbrjmcwya.jpeg,Micromax Unite 2 A106 with 4 GB ROM (Green)
http://www.flipkart.com/micromax-canvas-elanza-2-a121/p/itmdw6yahy5vygbf?pid=MOBDW5YZDUACA9P7&otracker=from-search&srno=t_11&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 8,528",http://img6a.flixcart.com/image/mobile/9/p/7/micromax-canvas-elanza-2-a121-125x125-imadw6fz5wumvyze.jpeg,Micromax Canvas Elanza 2 A121 (Black)
http://www.flipkart.com/micromax-battery-canvas-2-a110/p/itmdxtwwyjzsjqhf?pid=ACCDXTWWF4N7MZBU&otracker=from-search&srno=t_12&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,Rs. 363,http://img6a.flixcart.com/image/battery/lithium-polymer/z/b/u/micromax-canvas-2-a110-125x125-imadxtysghvzhvke.jpeg,Micromax battery Canvas 2 A110 (Black & Silver)
http://www.flipkart.com/micromax-canvas-juice-a177/p/itmduketxdhz4zev?pid=MOBDUKETXDHZ4ZEV&otracker=from-search&srno=t_13&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 5,865",http://img5a.flixcart.com/image/mobile/z/e/v/micromax-canvas-juice-a177-a177-125x125-imadukhmqvb2tmwb.jpeg,Micromax Canvas Juice A177 (Black)
http://www.flipkart.com/micromax-unite-2-a106-4-gb-rom/p/itmeyfpgduuh8wzw?pid=MOBDWZHZT782U536&otracker=from-search&srno=t_14&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 7,999",http://img6a.flixcart.com/image/mobile/5/3/6/micromax-unite-2-a106-125x125-imadwzm6qkyjgyh9.jpeg,Micromax Unite 2 A106 with 4 GB ROM (Red)
http://www.flipkart.com/micromax-canvas-turbo-a250/p/itmdpxkkhehb4fct?pid=MOBDPXKECHAAHXGP&otracker=from-search&srno=t_15&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 12,080",http://img5a.flixcart.com/image/mobile/x/g/p/micromax-canvas-turbo-a250-125x125-imadqftsz66u5grx.jpeg,Micromax Canvas Turbo A250 (White)
http://www.flipkart.com/micromax-canvas-fire-a104/p/itmdzkkmaqbfwrzd?pid=MOBDYABCUZEH7FBK&otracker=from-search&srno=t_16&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 6,999",http://img6a.flixcart.com/image/mobile/f/b/k/micromax-canvas-fire-2-a104-125x125-imadyabw429dfj7b.jpeg,Micromax Canvas Fire A104 (Black Gold)
http://www.flipkart.com/micromax-canvas-doodle-3-a102-1-gb-ram/p/itmdwdp4z8bvry3u?pid=MOBDWDZZKUNGB26U&otracker=from-search&srno=t_17&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 7,649",http://img6a.flixcart.com/image/mobile/2/6/u/micromax-canvas-doodle-3-a102-1-gb-ram-125x125-imadwdqg9bxwfzgh.jpeg,Micromax Canvas Doodle 3 A102 with 1 GB RAM (Blue)
http://www.flipkart.com/micromax-canvas-doodle-3-a102-1-gb-ram/p/itmdwdp4z8bvry3u?pid=MOBDWDZZRWYVGZZ2&otracker=from-search&srno=t_18&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 7,400",http://img5a.flixcart.com/image/mobile/z/z/2/micromax-canvas-doodle-3-a102-1-gb-ram-125x125-imadwdqgjxhyx5k9.jpeg,Micromax Canvas Doodle 3 A102 with 1 GB RAM (White)
http://www.flipkart.com/micromax-canvas-2-colors-a120-8-gb-rom/p/itmeyu56rgxykyun?pid=MOBDYR2EU5Q2RXHG&otracker=from-search&srno=t_19&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 8,464",http://img5a.flixcart.com/image/mobile/x/h/g/micromax-canvas-2-colors-a120-8-gb-rom-125x125-imadyr2ujw4a5g7j.jpeg,Micromax Canvas 2 Colors A120 with 8 GB ROM (Grey)
http://www.flipkart.com/micromax-bolt-a58/p/itmdv6f6rbx9tfr9?pid=MOBDPZZR65PETYZH&otracker=from-search&srno=t_20&query=micromax&ref=0029e3bb-173d-47e7-9970-61d6b05c3d66,"Rs. 3,723",http://img6a.flixcart.com/image/mobile/y/z/h/micromax-bolt-a58-125x125-imadppuzfrhupura.jpeg,Micromax Bolt A58 (Black)
http://www.flipkart.com/apple-iphone-5s/p/itmdv6f75dyxhmt4?pid=MOBDPPZZDX8WSPAT&otracker=from-search&srno=t_1&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 44,999",http://img6a.flixcart.com/image/mobile/4/u/g/apple-iphone-5s-125x125-imadpppc9k3gzdjz.jpeg,"Apple iPhone 5S (Gold, with 16 GB)"
http://www.flipkart.com/apple-iphone-4s/p/itmeyfrhecyqxrgg?pid=MOBDQD7UUUM57Y5W&otracker=from-search&srno=t_2&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 22,750",http://img6a.flixcart.com/image/mobile/y/5/w/apple-iphone-4s-125x125-imadqd855n6xhvja.jpeg,"Apple iPhone 4S (White, with 8 GB)"
http://www.flipkart.com/apple-iphone-4s/p/itmeyfrhecyqxrgg?pid=MOBDQD7UHBGZHRPN&otracker=from-search&srno=t_3&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 22,199",http://img5a.flixcart.com/image/mobile/r/p/n/apple-iphone-4s-125x125-imadqd85hevjfagb.jpeg,"Apple iPhone 4S (Black, with 8 GB)"
http://www.flipkart.com/apple-iphone-5s/p/itmdv6f75dyxhmt4?pid=MOBDPPZZPXVDJHSQ&otracker=from-search&srno=t_4&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 45,999",http://img6a.flixcart.com/image/mobile/z/h/f/apple-iphone-5s-125x125-imadpppc54zfpj9c.jpeg,"Apple iPhone 5S (Space Grey, with 16 GB)"
http://www.flipkart.com/apple-iphone-5s/p/itmdv6f75dyxhmt4?pid=MOBDPPZZVUJRG582&otracker=from-search&srno=t_5&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 44,999",http://img5a.flixcart.com/image/mobile/4/y/h/apple-iphone-5s-125x125-imadpppch2n6hhux.jpeg,"Apple iPhone 5S (Silver, with 16 GB)"
http://www.flipkart.com/apple-iphone-5c-8-gb/p/itmdwxzvq5thay62?pid=MOBDWXZTHPFTTRVG&otracker=from-search&srno=t_6&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 30,500",http://img5a.flixcart.com/image/mobile/r/v/g/apple-iphone-5c-125x125-imadwyy4ygz3krgw.jpeg,"Apple iPhone 5C (8 GB) (White, with 8 GB)"
http://www.flipkart.com/apple-iphone-5s/p/itmdv6f4aaygnmfb?pid=MOBDPPZZAQFHN4UG&otracker=from-search&srno=t_7&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 56,999",http://img6a.flixcart.com/image/mobile/4/u/g/apple-iphone-5s-125x125-imadpppc9k3gzdjz.jpeg,"Apple iPhone 5S (Gold, with 32 GB)"
http://www.flipkart.com/apple-md760hn-b-macbook-air-ci5-4gb-128gb-flash-mac-os-x-mavericks/p/itmdwdybkgzzgtbk?pid=COMDWDY8DDCHPKWA&otracker=from-search&srno=t_8&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 61,990",http://img5a.flixcart.com/image/computer/v/w/r/apple-macbook-air-notebook-125x125-imadwdzswggdyva6.jpeg,Apple MD760HN/B MacBook Air (Ci5/ 4GB/ 128GB Flash/ Mac OS X Mavericks) (SIlver)
http://www.flipkart.com/apple-md101hn-a-macbook-pro-intel-core-i5-13-inch-500-gb-hdd-4-ddr3-mac-os-laptop/p/itmdzmykfnyqzz6n?pid=COMDMKKAHYGRF9TM&otracker=from-search&srno=t_9&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 60,999",http://img5a.flixcart.com/image/computer/9/t/m/apple-macbook-pro-125x125-imadmkhjrazhgrqh.jpeg,"Apple MD101HN/A Macbook Pro MD101HN/A Intel Core i5  -  13 inch, 500 GB HDD, 4 GB DDR3, Mac OS Laptop (SIlver)"
http://www.flipkart.com/apple-md761hn-b-macbook-air-ci5-4gb-256gb-flash-mac-os-x-mavericks/p/itmdwdybt3e3ptdw?pid=COMDWDY8YMVHZVWR&otracker=from-search&srno=t_10&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 76,980",http://img5a.flixcart.com/image/computer/v/w/r/apple-macbook-air-notebook-125x125-imadwdzswggdyva6.jpeg,Apple MD761HN/B MacBook Air (Ci5/ 4GB/ 256GB Flash/ Mac OS X Mavericks) (SIlver)
http://www.flipkart.com/apple-300105-battery-charger/p/itmdw3xynszm9ptb?pid=ACCDW3XYBHNQYQJF&otracker=from-search&srno=t_11&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,Rs. 419,http://img5a.flixcart.com/image/battery-charger/wall-charger/q/j/f/apple-300105-125x125-imadw3ymrcmfev2a.jpeg,Apple 300105 Battery Charger (White)
http://www.flipkart.com/malbro-iphone-5s-front-back-screen-guard/p/itmdqf2ehtpfhkpj?pid=ACCDQF2BC6JHXCPV&otracker=from-search&srno=t_12&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,Rs. 249,http://img5a.flixcart.com/image/screen-guard/ultra-clear-screen-protector/c/p/v/malbro-iphone-5s-front-and-back-125x125-imadqft9j4wabeuf.jpeg,Malbro iPhone 5S Front and Back Screen Guard for iPhone 5S
http://www.flipkart.com/apple-a1357-battery-charger/p/itmdvyeyprxcusw9?pid=ACCDVYEYZ27FHXDU&otracker=from-search&srno=t_13&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 1,020",http://img5a.flixcart.com/image/battery-charger/wall-charger/h/w/y/apple-a1357-125x125-imadvyfzzymhs3mj.jpeg,Apple A1357 Battery Charger (White)
http://www.flipkart.com/apple-iphone-5s/p/itmdv6f4aaygnmfb?pid=MOBDPPZZXGKPFZN3&otracker=from-search&srno=t_14&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 54,149",http://img6a.flixcart.com/image/mobile/z/h/f/apple-iphone-5s-125x125-imadpppc54zfpj9c.jpeg,"Apple iPhone 5S (Space Grey, with 32 GB)"
http://www.flipkart.com/apple-iphone-5s/p/itmdv6erzqbhjwqh?pid=MOBDPPZZYQDBDFBA&otracker=from-search&srno=t_15&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 67,999",http://img6a.flixcart.com/image/mobile/4/u/g/apple-iphone-5s-125x125-imadpppc9k3gzdjz.jpeg,"Apple iPhone 5S (Gold, with 64 GB)"
http://www.flipkart.com/apple-iphone-5s/p/itmdv6erzqbhjwqh?pid=MOBDPPZZVADN7TGN&otracker=from-search&srno=t_16&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 71,320",http://img5a.flixcart.com/image/mobile/4/y/h/apple-iphone-5s-125x125-imadpppch2n6hhux.jpeg,"Apple iPhone 5S (Silver, with 64 GB)"
http://www.flipkart.com/apple-iphone-5s/p/itmdv6f4aaygnmfb?pid=MOBDPPZZMY4DF4YH&otracker=from-search&srno=t_17&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 60,000",http://img5a.flixcart.com/image/mobile/4/y/h/apple-iphone-5s-125x125-imadpppch2n6hhux.jpeg,"Apple iPhone 5S (Silver, with 32 GB)"
http://www.flipkart.com/apple-iphone-5s/p/itmdv6erzqbhjwqh?pid=MOBDPPZZFW9EHZHF&otracker=from-search&srno=t_18&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 68,000",http://img6a.flixcart.com/image/mobile/z/h/f/apple-iphone-5s-125x125-imadpppc54zfpj9c.jpeg,"Apple iPhone 5S (Space Grey, with 64 GB)"
http://www.flipkart.com/apple-iphone-5c-8-gb/p/itmdwxzvq5thay62?pid=MOBDWXZTZ3DXF3P6&otracker=from-search&srno=t_19&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 29,699",http://img5a.flixcart.com/image/mobile/3/p/6/apple-iphone-5c-125x125-imadwyy4bg2n9ewn.jpeg,"Apple iPhone 5C (8 GB) (Blue, with 8 GB)"
http://www.flipkart.com/apple-mgx72hn-a-macbook-pro-notebook-ci5-8gb-mac-os-x-mavericks/p/itmdyp9jznwen9y6?pid=COMDYP8WZZCJZDM7&otracker=from-search&srno=t_20&query=apple&ref=f82335f3-4529-4bfb-9dc5-797068b85e38,"Rs. 84,899",http://img5a.flixcart.com/image/computer/d/m/7/apple-macbook-pro-notebook-125x125-imadypaf62ycfhzu.jpeg,Apple MGX72HN/A MacBook Pro Notebook (Ci5/ 8GB/ Mac OS X Mavericks) (SIlver)
